site,family,species,species_code,life_form,wsg,wsg_id,wsg_specificity,a,b,c,d,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,site_dbh_unit,equation_id,equation_form,equation_allometry,equation_grouping,independent_variable,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,dependent_variable_biomass_component,allometry_specificity,development_species,geographic_area,biomass_equation_source,ref_id,wsg_source,ref_wsg_id,original_data_availability,notes_to_consider,warning
SCBI,Magnoliaceae,Liriodendron tulipifera,litu,Tree,0.4,,,1.0259,2.7324,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.0259*(dbh^2.7324),E,DBH,,,,0,NA,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Caprifoliaceae,Lonicera maackii,loma,Shrub,NRA,,,51.996,2.77,,,0.12,0.69,20,cm,g,harvest,mm,,a*(DBA^b),51.996*(dba^2.77),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Lonicera canadensis,Canada,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Nyssaceae,Nyssa sylvatica,nysy,Tree,0.46,,,1.5416,2.7818,,,14.48,25.4,,in,lb,harvest,mm,,a*(DBH^2)^b,1.5416*(dbh^2)^2.7818,E,DBH,,,,1,included in model,,Stem and branches (live),Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Paulowniaceae,Paulownia tomentosa,pato,Tree,0.38,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Pinaceae,Pinus pungens,pipu,Tree,0.49,,,5.2831,2.0369,,,1,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(5.2831+2.0369*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,Pinus strobus,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Pinaceae,Pinus strobus,pist,Tree,0.34,,,5.2831,2.0369,,,1,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(5.2831+2.0369*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Pinaceae,Pinus virginiana,pivi,Tree,0.45,,,1.83,2.464,,,3.5,35.6,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.83+2.464*(log10(dbh))),E,DBH,,,,0,NA,,Total aboveground biomass,Species,Pinus taeda,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Platanaceae,Platanus occidentalis,ploc,Tree,0.46,,,2.49193,2.7727,,,27.94,49.53,,in,lb,harvest,mm,,a*(DBH^2)^b,2.49193*(dbh^2)^2.7727,E,DBH,,,,1,included in model,,Stem and branches (live),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Prunus avium,prav,Tree,0.47,,,1.8082,2.6174,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.8082*(dbh^2.6174),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Prunus serotina,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Prunus persica,prpe,Tree,0.47,,,1.8082,2.6174,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.8082*(dbh^2.6174),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Prunus serotina,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Rosaceae,Prunus serotina,prse,Tree,0.47,,,1.8082,2.6174,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.8082*(dbh^2.6174),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus alba,qual,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,29,in,lb,harvest,mm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus coccinea,quco,Tree,0.6,,,2.65743,2.43948,,,5.08,40.64,,in,lb,harvest,mm,,a*(DBH^b),2.65743*(dbh^2.43948),E,DBH,,,,0,NA,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus falcata,qufa,Tree,0.52,,,2.30252,1.6839,,,5.84,25.4,,in,lb,harvest,mm,,a*(DBH^2)^b,2.30252*(dbh^2)^1.6839,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus falcata,qufa,Tree,0.52,,,2.23731,2.8427,,,27.94,47.75,,in,lb,harvest,mm,,a*(DBH^2)^b,2.23731*(dbh^2)^2.8427,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus michauxii,qumi,Tree,0.6,,,1.5509,2.7276,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.5509*(dbh^2.7276),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Quercus prinus,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus montana,qupr,Tree,0.57,,,1.5509,2.7276,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.5509*(dbh^2.7276),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus muehlenbergii,qumu,Tree,0.6,,,1.5509,2.7276,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.5509*(dbh^2.7276),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Quercus prinus,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus rubra,quru,Tree,0.56,,,2.4601,2.4572,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.4601*(dbh^2.4572),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Fagaceae,Quercus velutina,quve,Tree,0.56,,species,2.1457,2.503,,,5.08,40.64,19,in,lb,harvest,mm,,a*(DBH^b),2.1457*(dbh^2.503),E,DBH,linear,a+(b*DBH^2); a+(b*DBH+DBH^2),0,0,NRA,"Although there are more sophisticated statistical procedures, models providing the best R^ -values (or r^) were accepted and are given with their standard errors and standard errors as a percent of the W-means.",Whole tree (above stump),Species,,West Virginia,Wiant et al. 1977,,"Clark and Schroeder, 1986",,,,
SCBI,Fagaceae,Quercus velutina,quve,Tree,0.56,,species,1.00005,2.10621,,,30.48,88.9,26,in,lb,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.00005+2.10621*(log10(dbh))),E,DBH,linear,,1,0,NRA,,Whole tree (above and belowground),Species,,"North Carolina, Kentucky, Tennessee",Jenkins et al. 2004,,"Clark and Schroeder, 1986",,0,Unable to locate orignal publication,No specific location of sampled trees is given in publication. Geographic area may be too broad.
SCBI,Fabaceae,Robinia pseudoacacia,rops,Tree,0.6,,species,4.13741,2.8427,,,14.22,25.91,9,in,lb,harvest,mm,,a*(DBH^2)^b,4.13741*(dbh^2)^2.8427,E,DBH,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure. ",Stem and branches (live),Species,,"North Carolina, Georgia","Clark and Schroeder, 1986",,"Clark and Schroeder, 1986",,1,,
SCBI,Fabaceae,Robinia pseudoacacia,rops,Tree,0.66,,species,1.04649,2.45446,,,29.46,41.66,9,in,lb,harvest,mm,,a*(DBH^2)^b,1.04649*(dbh^2)^2.45446,E,DBH,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure. ",Stem and branches (live),Species,,North Carolina,"Clark and Schroeder, 1986",,"Clark and Schroeder, 1986",,1,,
SCBI,Rosaceae,Rosa multiflora,romu,Shrub,NRA,,,37.637,2.779,,,0.2,1.2,32,cm,g,harvest,mm,,a*(DBA^b),37.637*(dba^2.779),E,DBA,,,,1,included in model,,Total aboveground biomass,Genus,,Idaho/Montana,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Rosaceae,Rubus allegheniensis,rual,Shrub,NRA,,,43.992,2.86,,,0.3,0.9,26,cm,g,harvest,mm,,a*(DBA^b),43.992*(dba^2.86),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Rubus idaeus,Idaho/Montana,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Rosaceae,Rubus pensilvanicus,rupe,Shrub,NRA,,,43.992,2.86,,,0.3,0.9,26,cm,g,harvest,mm,,a*(DBA^b),43.992*(dba^2.86),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Rubus idaeus,Idaho/Montana,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Rosaceae,Rubus phoenicolasius,ruph,Shrub,NRA,,,43.992,2.86,,,0.3,0.9,26,cm,g,harvest,mm,,a*(DBA^b),43.992*(dba^2.86),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Rubus idaeus,Idaho/Montana,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Adoxaceae,Sambucus canadensis,saca,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Lauraceae,Sassafras albidum,saal,Tree,0.42,,,1.3539,1.3412,2,,0.4,8.49,41,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.3539+1.3412*(log10(dbh^2))),E,DBH,linear,,1,1,1.004,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,Equation built for seedlings and saplings
SCBI,Malvaceae,Tilia americana,tiam,Tree,0.32,,,1.4416,2.7324,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.4416*(dbh^2.7324),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Ulmaceae,Ulmus americana,ulam,Tree,0.46,,,2.17565,1.2481,,,2.54,27.43,,in^2,lb,harvest,mm,,a*(DBH^2)^b,2.17565*(dbh^2)^1.2481,E,DBH,,,,1,included in model,,Whole tree (above stump),Genus,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Ulmaceae,Ulmus rubra,ulru,Tree,0.48,,,2.04282,1.25462,,,2.54,27.43,,in,lb,harvest,mm,,a*(DBH^2)^b,2.04282*(dbh^2)^1.25462,E,DBH,,,,1,included in model,,Stem and branches (live),Genus,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SCBI,Adoxaceae,Viburnum acerifolium,viac,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Adoxaceae,Viburnum prunifolium,vipr,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SCBI,Adoxaceae,Viburnum recognitum,vire,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SERC,Aceraceae,Acer negundo,ACNE2,Tree,0.44,,,-2.047,2.3852,,,3,66,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.047+2.3852*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Aceraceae,Acer rubrum,ACRU,Tree,0.49,,,4.5893,2.43,,,1,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(4.5893+2.43*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Simaroubaceae,Ailanthus altissima,AIAL,Tree,0.33,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fabaceae,Albizia julibrissin,ALJU,Tree,0.57,,,-2.0705,2.441,,,3,89,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.0705+2.441*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier arborea,AMAR3,Tree,0.66,,,7.217,1.514,,,8.9,25.4,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),E,DBH,,,,1,included in model,,Stem biomass (with bark),Genus,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier arborea,AMAR3,Tree,0.66,,,2.5368,1.3197,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),E,DBH,,,,0,NA,,"Branches (live, dead)",Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier arborea,AMAR3,Tree,0.66,,,2.0865,0.9449,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),E,DBH,,,,0,NA,,Foliage total,Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier canadensis,AMCA4,Tree,0.66,,,7.217,1.514,,,8.9,25.4,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),E,DBH,,,,1,included in model,,Stem biomass (with bark),Genus,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier canadensis,AMCA4,Tree,0.66,,,2.5368,1.3197,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),E,DBH,,,,0,NA,,"Branches (live, dead)",Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Amelanchier canadensis,AMCA4,Tree,0.66,,,2.0865,0.9449,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),E,DBH,,,,0,NA,,Foliage total,Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Araliaceae,Aralia spinosa,ARSP2,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Annonaceae,Asimina triloba,ASTR,Tree,0.47,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Moraceae,Broussonetia papyrifera,BRPA4,Tree,0.59,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Betulaceae,Carpinus caroliniana,CACA18,Tree,0.58,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Juglandaceae,Carya alba,CAAL27,Tree,0.62,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SERC,Juglandaceae,Carya cordiformis,CACO15,Tree,0.6,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SERC,Juglandaceae,Carya glabra,CAGL8,Tree,0.66,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SERC,Juglandaceae,Carya sp.,CARYA,Tree,0.62,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
SERC,Cannabaceae,Celtis occidentalis,CEOC,Tree,0.49,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rubiaceae,Cephalanthus occidentalis,CEOC2,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fabaceae,Cercis canadensis,CECA4,Tree,0.63,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Cornaceae,Cornus florida,COFL2,Tree,0.64,,,3.08355,1.14915,,,2.54,12.45,,in^2,lb,harvest,mm,,a*(DBH^2)^b,3.08355*(dbh^2)^1.14915,E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Southeast U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Elaeagnaceae,Elaeagnus angustifolia,ELAN,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Elaeagnaceae,Elaeagnus umbellata,ELUM,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Fagus grandifolia,FAGR,Tree,0.56,,,2.1112,2.462,,,1,63,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.1112+2.462*(log10(dbh))),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Oleaceae,Fraxinus americana,FRAM2,Tree,0.51,,,3.203,-0.234,0.006,2,25,550,32,mm,kg,harvest,mm,,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),E,DBH,,,,0,NA,,Whole tree (above stump),Species,,New York,Jenkins et al. 2004,,Jenkins et al. 2004,,0,Unable to locate orignal publication,
SERC,Oleaceae,Fraxinus pennsylvanica,FRPE,Tree,0.53,,,2.76583,1.15849,,,2.54,27.69,,in,lb,harvest,mm,,a*(DBH^2)^b,2.76583*(dbh^2)^1.15849,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Gulf and Atlantic Coastal Plains,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Aquifoliaceae,Ilex opaca,ILOP,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Aquifoliaceae,Ilex verticillata,ILVE,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Juglandaceae,Juglans nigra,JUNI,Tree,0.51,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Cupressaceae,Juniperus virginiana,JUVI,Tree,0.44,,,0.1632,2.2454,,,14,43,,cm,kg,harvest,mm,,a*(DBH^b),0.1632*(dbh^2.2454),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Ericaceae,Kalmia latifolia,KALA,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Oleaceae,Ligustrum sp.,LIGUS2,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Lauraceae,Lindera benzoin,LIBE3,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Altingiaceae,Liquidambar styraciflua,LIST2,Tree,0.46,,,1.72982,1.27422,,,28.45,50.8,,in,lb,harvest,mm,,a*(DBH^2)^b,1.72982*(dbh^2)^1.27422,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Gulf and Atlantic Coastal Plains,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Magnoliaceae,Liriodendron tulipifera,LITU,Tree,0.4,,,-1.236,2.635,,,10.2,55.8,,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.236+2.635*(log10(dbh))),E,DBH,,,,1,1.008,,Total aboveground biomass,Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Caprifoliaceae,Lonicera maackii,LOMA6,Shrub,NRA,,,51.996,2.77,,,0.12,0.69,20,cm,g,harvest,mm,,a*(DBA^b),51.996*(dba^2.77),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Lonicera canadensis,Canada,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SERC,Moraceae,Morus rubra,MORU2,Tree,0.59,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Nyssaceae,Nyssa sylvatica,NYSY,Tree,0.46,,,2.56795,1.18685,,,4.06,12.45,,in^2,lb,harvest,mm,,a*(DBH^2)^b,2.56795*(dbh^2)^1.18685,E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Southeast U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Scrophulariaceae,Paulownia tomentosa,PATO2,Tree,0.38,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Pinaceae,Pinus taeda,PITA,Tree,0.47,,,1.83,2.464,,,3.5,35.6,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.83+2.464*(log10(dbh))),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Pinaceae,Pinus virginiana,PIVI2,Tree,0.45,,,1.83,2.464,,,3.5,35.6,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.83+2.464*(log10(dbh))),E,DBH,,,,0,NA,,Total aboveground biomass,Species,Pinus taeda,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
